,"論文名稱","研究生","指導教授","校院名稱","系所名稱","學位類別","畢業學年度","論文出版年","引用網址","被引用","點閱","評分","下載","書目收藏"
"1","ESG對溫室氣體排放的影響—以RCEP成員國的石化產業為例","賴韻文","許博翔
陳宜伶","國立高雄大學","亞太工商管理學系碩士班","碩士","114","2026","https://hdl.handle.net/11296/mq57kv","0","11","0","0","0"
"2","ESG構架下校園既有建築再利用及永續轉型之研究—以中興大學南投校區為例","張瑗芹","謝政穎
曾亮","逢甲大學","建設碩士在職學位學程","碩士","114","2026","https://hdl.handle.net/11296/kv7pzm","0","12","0","3","0"
"3","ESG績效與盈餘的價值攸關性之影響","陳俊佑","王志成","國防大學","財務管理學系碩士班","碩士","114","2026","https://hdl.handle.net/11296/u8vbzp","0","4","0","1","0"
"4","環境資訊不確定性與產業競爭程度對企業ESG績效之影響：以台灣上市公司為例","林依緗","李慧慈","逢甲大學","會計學系","碩士","114","2026","https://hdl.handle.net/11296/7nmatd","0","8","0","2","0"
"5","ESG表現與債務成本關聯性研究：以台灣電機機械業為例","施阿玉","陳美華","國立彰化師範大學","財務金融技術學系行政管理碩士在職專班","碩士","114","2026","https://hdl.handle.net/11296/njj8sf","0","11","0","0","0"
"6","考量 ESG 因素之股票投資組合績效：高排碳企業的證據","佘佩盈","張嘉倩","國立高雄科技大學","金融資訊系","碩士","114","2026","https://hdl.handle.net/11296/8qzvy8","0","12","0","4","0"
"7","ESG企業永續經營發展 供應鏈上中下游共同經營發展分析","潘世偉","范凱棠","龍華科技大學","企業管理系碩士班","碩士","114","2026","https://hdl.handle.net/11296/2dxhx4","0","13","0","4","0"
"8","ESG投入與實踐對企業融資可得性之影響 : 以國內中小企業為例","李鎰全","陳宥杉","國立臺北大學","國際財務金融碩士在職專班(IEMBA)","碩士","114","2026","https://hdl.handle.net/11296/234p4g","0","13","0","0","0"
"9","ESG基金與一般共同基金之差異，以美國市場為例","戴瑛佑","林允永","淡江大學","財務金融學系博士班","博士","114","2026","https://hdl.handle.net/11296/2mskbq","0","3","0","0","0"
"10","保險經紀人與代理人對ESG永續發展認知與銷售意願之研究","杜達豪","田峻吉","淡江大學","風險管理與保險學系保險經營碩士在職專班","碩士","114","2026","https://hdl.handle.net/11296/25zqj4","0","16","0","9","0"
"11","當機器學習遇上永續投資：融合 ESG 與 Black-Litterman 的智慧投資組合策略","蔡宗陞","林志娟
羅惠瓊","淡江大學","統計與資料科學學系應用統計學碩士班","碩士","114","2026","https://hdl.handle.net/11296/fj6xkx","0","5","0","2","0"
"12","臺灣大學生 ESG 素養評量之發展","林妤倢","鍾孟達","淡江大學","管理科學學系企業經營碩士班","碩士","114","2026","https://hdl.handle.net/11296/hfbfba","0","6","0","2","0"
"13","ESG 評分中的規模效應探討––台灣市場實證研究","任芸蓁","林允永
謝文良","淡江大學","財務金融學系碩士班","碩士","114","2026","https://hdl.handle.net/11296/8h8253","0","3","0","2","0"
"14","ESG 資訊在預測與投資中的價值：以機器學習檢驗三構面的異質性效果","鄭淑嬿","林志娟
陳麗菁","淡江大學","統計與資料科學學系應用統計學碩士班","碩士","114","2026","https://hdl.handle.net/11296/8r9bdu","0","4","0","1","0"
"15","臺灣上市公司推動ESG捐贈圖書館與教育資源之研究","郭承秀","林雯瑤","淡江大學","資訊與圖書館學系碩士班","碩士","114","2026","https://hdl.handle.net/11296/t5e9zd","0","2","0","0","0"
"16","企業ESG實踐對顧客品牌認同、品牌信任及購買意願之影響—以玉山銀行為例","陳姿爭","張立言","國立嘉義大學","企業管理學系","碩士","114","2026","https://hdl.handle.net/11296/9h9434","0","22","0","15","0"
"17","ESG 表現與銀行授信對臺灣中小企業的雙向回饋機制","黃昱瑄","陳聖賢","國立臺灣大學","財務金融學系","碩士","114","2026","https://hdl.handle.net/11296/v7sbmp","0","5","0","0","0"
"18","ESG做得好，經營績效一定好？  2015-2024年一家多期縱橫資料的長期追蹤","蘇信翰","陳心田","明志科技大學","經營管理系碩士班","碩士","114","2025","https://hdl.handle.net/11296/z32mk7","0","6","0","3","0"
"19","生技醫療產業ESG等級與公司營運績效關聯性之研究","沈志傑","王俊豪","國立臺灣大學","生物產業傳播暨發展學系","碩士","114","2026","https://hdl.handle.net/11296/b8uy42","0","4","0","0","0"
"20","專注型機構投資人與 ESG 連結薪酬關聯性之探討","林宗漢","吳淑鈴","國立臺灣大學","會計學系","碩士","114","2026","https://hdl.handle.net/11296/54pg49","0","9","0","1","0"
"21","雲品國際與寒舍餐旅ESG策略之比較研究","林紓妘","傅浚映","國立臺灣大學","國際企業學系","碩士","114","2026","https://hdl.handle.net/11296/74x9pc","0","4","0","1","0"
"22","企業併購時商定留用權之勞工權益強化——由ESG觀點出發","張湘泓","陳肇鴻","國立臺灣大學","法律學系","碩士","114","2025","https://hdl.handle.net/11296/782cz6","0","18","0","5","0"
"23","誰以行動支持永續農業？從 ESG 認知到實際消費行為之實證分析","莊詠州","陳儀","國立臺灣大學","經濟學系","碩士","114","2026","https://hdl.handle.net/11296/a483q2","0","15","0","8","0"
"24","ESG監管不確定性與S&P 500股價反應：以SEC政策轉向為例","楊子逸","徐憶文","長庚大學","工商管理學系","碩士","114","2026","https://hdl.handle.net/11296/q8aqc5","0","2","0","1","0"
"25","運用層級分析法探討ESG因素導入信保基金審查機制─以推動永續金融之可行性研究","洪苡玲","吳中峻","國立宜蘭大學","人文及管理學院高階經營管理碩士在職專班","碩士","114","2026","https://hdl.handle.net/11296/pcmrp5","0","15","0","3","0"
"26","同業公司ESG負面事件對公司投資決策之影響","謝佳倩","劉志諒","國立陽明交通大學","經營管理研究所","碩士","114","2026","https://hdl.handle.net/11296/ydpf38","0","2","0","0","0"
"27","企業資源密集度管理對財務績效與ESG效率的影響","許嘉芸","胡均立","國立陽明交通大學","經營管理研究所","碩士","114","2026","https://hdl.handle.net/11296/htegp7","0","6","0","2","0"
"28","ESG資訊之揭露對於企業特有風險之影響：以台灣上市櫃公司為例","楊博勝","胡均立","國立陽明交通大學","經營管理研究所","博士","114","2026","https://hdl.handle.net/11296/s629n4","0","15","0","0","0"
"29","ESG績效與財務風險：來自台灣企業的佐證","蔡宜兼","胡均立","國立陽明交通大學","經營管理研究所","博士","114","2025","https://hdl.handle.net/11296/8fjznn","0","15","0","5","0"
"30","ESG 於 NVIDIA 供應鏈公司價值之影響","劉丞彬","黃宜侯","國立陽明交通大學","資訊管理與財務金融學系財務金融","碩士","114","2026","https://hdl.handle.net/11296/yfutq5","0","7","0","0","0"
"31","ETF 持股與實質盈餘管理：來自ESG與公司特徵之分析","楊于諠","黃宜侯","國立陽明交通大學","管理學院專班-財務金融學程","碩士","114","2026","https://hdl.handle.net/11296/g46q5q","0","16","0","4","0"
"32","融合 ESG 與財務指標之企業盈虧與 EPS 預測研究","吳宜珊","劉建良","國立陽明交通大學","管理學院專班-工業工程與管理學程","碩士","114","2025","https://hdl.handle.net/11296/2z6btg","0","7","0","0","0"
"33","ESG主題ETF投資績效探討","陳芳萱","程言信","國立高雄科技大學","金融資訊系","碩士","114","2026","https://hdl.handle.net/11296/h9kytf","0","25","0","5","0"
"34","品牌形象與ESG旅遊需求趨勢對旅遊業主管低碳旅遊銷售意願之影響","江明宏","陳金足","國立臺北商業大學","創意設計與經營研究所","碩士","114","2026","https://hdl.handle.net/11296/53xv8u","0","11","0","7","0"
"35","ESG導入對餐廳經營與員工離職傾向的影響","翁采縈","劉民翎
陳春富","國立臺北商業大學","創意設計與經營研究所","碩士","114","2026","https://hdl.handle.net/11296/28k7d7","0","6","0","0","0"
"36","ESG作法對於數位轉型策略之影響─以某媒體集團為例","梁健萍","汪瑞芝
葉清江","國立臺北商業大學","會計資訊系(所)","碩士","114","2026","https://hdl.handle.net/11296/c87ed6","0","17","0","5","0"
"37","企業年齡在ESG績效關係中之角色","鄭帆晴","黃承祖","國立中央大學","企業管理學系","碩士","114","2026","https://hdl.handle.net/11296/y2v6dz","0","16","0","0","0"
"38","女性CEO對企業盈餘穩定性及產業競爭程度與ESG績效關聯之影響","王子欣","黃承祖","國立中央大學","企業管理學系","碩士","114","2026","https://hdl.handle.net/11296/t7wp32","0","32","0","10","0"
"39","生成式 AI 與傳統自然語言處理模型於 ESG 新聞分析之比較：文本特徵與市場反應之洞察","黃翔","黃正魁","國立中正大學","企業管理系研究所","碩士","114","2026","https://hdl.handle.net/11296/wkzwj7","0","38","0","0","0"
"40","公司採用ESG政策對知覺品質與顧客滿意度之研究","吳易穗","柯博昌
黃瑞展","國立高雄科技大學","商業智慧學院博士班","博士","114","2026","https://hdl.handle.net/11296/x5bzxm","0","16","0","0","0"
"41","ESG 對醫療產業認知、環境與治理之研究","翁東霖","周百隆","國立高雄科技大學","風險管理與保險系","碩士","114","2026","https://hdl.handle.net/11296/ebmxad","0","13","0","2","0"
