設定,變數,係數,穩健SE,t值,p值,顯著性,N
廢棄物裁罰金額｜全樣本｜t-2,DEC_x_dREV,-0.12149229117359554,0.27342091945060487,-0.4443416086000832,0.6567956229118277,,4002
廢棄物裁罰金額｜全樣本｜t-2,WasteFine_D_dREV_l2,-0.0009184306630179744,0.001759517854746576,-0.521978598023523,0.6016852319897782,,4002
廢棄物裁罰金額｜全樣本｜t-2,WasteFine_l2,-0.0003631919553557637,0.0003197596965013781,-1.1358278086000073,0.2560286362652199,,4002
廢棄物裁罰金額｜高耗水｜t-0,dLNREV,0.44367744415219845,0.05288507067161802,8.389464900352456,4.8835985607960214e-17,***,2093
廢棄物裁罰金額｜高耗水｜t-0,DEC_x_dREV,-0.038216709455523065,0.29174921431991535,-0.1309916448090819,0.8957819169293769,,2093
廢棄物裁罰金額｜高耗水｜t-0,WasteFine_D_dREV,-0.0006983893898139865,0.0013423496902481838,-0.5202738115765222,0.6028727461132977,,2093
廢棄物裁罰金額｜高耗水｜t-0,WASTE_FINE,-0.00019622090665139718,0.00031681699736771536,-0.6193509448094804,0.5356851900154782,,2093
廢棄物裁罰金額｜高耗水｜t-1,dLNREV,0.44420773332373714,0.052423530332228054,8.473441801966064,2.3824689368502286e-17,***,2096
廢棄物裁罰金額｜高耗水｜t-1,DEC_x_dREV,-0.07668692784681484,0.33152031830112805,-0.23131893767415554,0.8170670354731233,,2096
廢棄物裁罰金額｜高耗水｜t-1,WasteFine_D_dREV_l1,-0.000981662311393593,0.0017500568678600588,-0.5609316642344051,0.5748441232092035,,2096
廢棄物裁罰金額｜高耗水｜t-1,WasteFine_l1,-5.866585481817475e-06,0.00036395495599037653,-0.01611898776279501,0.9871394654385083,,2096
廢棄物裁罰金額｜高耗水｜t-2,dLNREV,0.44531729394889613,0.05640715886947318,7.894694625186947,2.910269212914909e-15,***,2087
廢棄物裁罰金額｜高耗水｜t-2,DEC_x_dREV,-0.17886344806802804,0.3539909667714261,-0.5052768710437776,0.6133643853911148,,2087
廢棄物裁罰金額｜高耗水｜t-2,WasteFine_D_dREV_l2,-0.00126474005882537,0.002203006442783152,-0.5740973036953855,0.5659019578414226,,2087
廢棄物裁罰金額｜高耗水｜t-2,WasteFine_l2,-0.000823906886542526,0.0005680481263927188,-1.4504173999738181,0.1469421578093663,,2087
廢棄物裁罰金額｜低耗水｜t-0,dLNREV,0.37794863215888086,0.028862309099530737,13.094885473491994,3.522051788505408e-39,***,2004
廢棄物裁罰金額｜低耗水｜t-0,DEC_x_dREV,-0.008076887597848914,0.3561860732776961,-0.02267603425233268,0.9819086928157648,,2004
