論文名稱,畢業學年度,學位類別,作者,博碩士論文網址
公共自行車租賃站設置關鍵因素分析,105,碩士,高鈺惠,https://hdl.handle.net/11296/4679h3
不同性別和組別高三學生對物理概念認知差異之研究―以碰撞單元為例,105,碩士,黃炫碩,https://hdl.handle.net/11296/2b25tk
差異化後設認知策略訓練對北台灣九年級學生之英語閱讀表現之效益研究,105,碩士,施柏健,https://hdl.handle.net/11296/ebbng6
南臺灣高中男女生在英語學習、閱讀、 寫作及考試焦慮之研究,105,碩士,許雅淳,https://hdl.handle.net/11296/74ep2p
臺灣國小學生環境素養檢測工具之建立與調查,105,碩士,謝育澤,https://hdl.handle.net/11296/esyjew
國民小學衛生組長職能需求分析之研究 ~以高雄市為例,105,碩士,吳姿慧,https://hdl.handle.net/11296/2jwnjb
國民小學註冊組長工作任務分析之研究~以高雄市為例,105,碩士,黃仲民,https://hdl.handle.net/11296/63n462
國民中學設備組長工作任務分析之研究~以新北市為例,105,碩士,陳俐頴,https://hdl.handle.net/11296/rsmz3m
苗栗縣國中八年級實施分組合作學習成效之行動研究－以等差數列單元為例,105,碩士,黃雅琪,https://hdl.handle.net/11296/6q2yv6
高雄地區國中數學GSP電腦輔助教學之行動研究-以圓單元為例,105,碩士,黃楷甯,https://hdl.handle.net/11296/b5krm4
高雄市某偏遠國中學生實施 分組合作學習成效之研究- 以八年級為例,105,碩士,朱乃慶,https://hdl.handle.net/11296/8sy455
高雄市某國中三年級學生實施合作學習成效之行動研究-以幾何與證明為例,105,碩士,張潔瑩,https://hdl.handle.net/11296/544jmn
翻轉教室之教學成效－應用Live數學學習網於九年級數學圓形單元,105,碩士,姜忠宏,https://hdl.handle.net/11296/56by3g
國中八年級數理資優生在四邊形單元之解題歷程分析,105,碩士,黃彭泂,https://hdl.handle.net/11296/mmew52
國中教師對自然與生活科技教科書使用適切性調查~以康軒版為例,105,碩士,李佳玲,https://hdl.handle.net/11296/4yf56s
SQ3R策略對高職綜合職能科學生烘焙食品丙級檢定學科學習成效之研究,105,碩士,黃媺芸,https://hdl.handle.net/11296/m298jy
高雄市國小特殊教育教師對特殊教育線上評鑑意見之研究,105,碩士,鄭秀嬋,https://hdl.handle.net/11296/9r2m29
高雄市某高中學生矩陣概念學習的錯誤類型分析之研究,105,碩士,郭和志,https://hdl.handle.net/11296/5jpqe6
