Industry,水資料密度,耗水分組
提煉與礦產加工,0.4273255813953488,高耗水
可再生資源與替代能源,0.22145328719723184,高耗水
食品與飲料,0.15485074626865672,高耗水
資源轉化,0.14046639231824418,高耗水
科技與通訊,0.11771147002463729,高耗水
運輸,0.1041890440386681,低耗水
消費品,0.07716701902748414,低耗水
醫療保健,0.04296545914069082,低耗水
公共建設,0.03819444444444445,低耗水
服務,0.021164021164021163,低耗水
