論文名稱,畢業學年度,學位類別,作者,博碩士論文網址
一貫道北部開荒奠基初探-以寶光組 臺北天元本堂為例（1958-1982）,112,碩士,蔣雅惠,https://hdl.handle.net/11296/59kt63
一貫道基礎忠恕顧祥麟前人修辦歷程,112,碩士,陳建州,https://hdl.handle.net/11296/7pb322
一貫道修行者對於身心靈感受與影響之研究—以發一崇德道場為例,112,碩士,丁宏經,https://hdl.handle.net/11296/98f3kw
一貫道三才竅手探討 ―以浩然浩德組線為例,112,碩士,黃淑鷲,https://hdl.handle.net/11296/bgzw6a
慈音傳道－一貫道寶光建德圓覺系列道歌之創作與樂教,112,碩士,劉怡秀,https://hdl.handle.net/11296/dd5k4x
一貫道弟子對還鄉道認知之研究,112,碩士,董水吉,https://hdl.handle.net/11296/j2zves
《周易》六十四卦「德」之闡揚,112,碩士,韋慶惠,https://hdl.handle.net/11296/n3w92u
一貫道發一組慧音道場劉明德前人之研究,112,碩士,梁武舜,https://hdl.handle.net/11296/v432j6
一貫道傳道儀式之研究—以寶光建德天臺道場為例,112,碩士,簡麗春,https://hdl.handle.net/11296/y9d76t
一貫道信徒宗教經驗之個案研究,112,碩士,陳靜姿,https://hdl.handle.net/11296/ype5k6
一貫道《百孝經聖訓》之孝道研究,112,碩士,李慧玲,https://hdl.handle.net/11296/47g3s2
一貫道〈道棒相承頌〉聖訓之研究,112,碩士,許郁霖,https://hdl.handle.net/11296/483an2
探析一貫道《白陽聖訓－－論語》之聖賢之道,112,碩士,柯詔雯,https://hdl.handle.net/11296/8qtee8
一貫道發一崇德修辦道程之探析,112,碩士,劉櫻婕,https://hdl.handle.net/11296/en28wb
一貫道發一崇德在越南的道務發展之探析,112,碩士,阮紅翠嬌,https://hdl.handle.net/11296/r55s28
一貫道《白陽聖訓—論語》之「內聖外王」研究,112,碩士,王薰詠,https://hdl.handle.net/11296/u7p5hw
大學生認真休閒與心理健康以及主觀幸福感影響研究,112,碩士,王麗英,https://hdl.handle.net/11296/27fwe2
消費者紅酒購買動機與滿意度對品牌忠誠度研究,112,碩士,馮晨森,https://hdl.handle.net/11296/2r65mh
探討85℃咖啡服務創新對消費者使用意願之影響,112,碩士,馮意翔,https://hdl.handle.net/11296/2zfcya
有小蘗鹼成分的外用噴霧劑 對於孕婦感染乙型鏈球菌之功效研究,112,碩士,鄭秀靜,https://hdl.handle.net/11296/389qyx
消費者對夜市之體驗行銷、知覺價值及滿意度研 究-以高雄市六合觀光夜市為例,112,碩士,林姿萱,https://hdl.handle.net/11296/39hafg
長期照護機構的住民約束與人權保護機制探討,112,碩士,龍應達,https://hdl.handle.net/11296/3n2wkp
中醫醫療服務品質、病患滿意度與回診意願之研究 -以屏東地區中醫診所為例,112,碩士,黃明昇,https://hdl.handle.net/11296/4d9pd6
應用計畫行為理論探討大學生連鎖藥局購買行為,112,碩士,簡若潔,https://hdl.handle.net/11296/53d8yc
花藝教育的推動與發展 ─以高雄「茗庭花藝」為例,112,碩士,莊瀞嵐,https://hdl.handle.net/11296/56d562
數位內容學習的科技接受度與教學效能提升之研究,112,碩士,葉柏宏,https://hdl.handle.net/11296/5az77v
家庭照顧者照顧負荷、 身心健康與相關因素之研究,112,碩士,徐銘谷,https://hdl.handle.net/11296/5g65h9
複合店藥局之前景分析,112,碩士,林財得,https://hdl.handle.net/11296/5gvjh6
大學生運動鞋品牌形象認知、品牌信任以及忠誠度關係研究,112,碩士,曾詠祺,https://hdl.handle.net/11296/62u6y2
以生雞糞進行好氧性堆肥之產業研究- 以南部某公司為例,112,碩士,莊士儀,https://hdl.handle.net/11296/6d7jvj
屏東市麥當勞連鎖速食店顧客消費動機與滿意度之研究,112,碩士,黃士豪,https://hdl.handle.net/11296/6t2rux
大鵬灣國家風景區旅遊意象、知覺價值與行為意向之研究,112,碩士,方文正,https://hdl.handle.net/11296/6v2k67
那瑪夏部落生態旅遊產業發展策略之研究— 以螢火蟲季為例,112,碩士,邱芳郁,https://hdl.handle.net/11296/76fpb9
以紀錄片探究高雄大林蒲鳳林宮五朝祈安清醮之研究,112,碩士,彭冠英,https://hdl.handle.net/11296/79e6k2
企業導入CNS 45001對安全文化之影響-以南部某食品廠為例,112,碩士,鍾斌連,https://hdl.handle.net/11296/7w3k9h
