論文名稱,畢業學年度,學位類別,作者,博碩士論文網址
艋舺祖師廟文化意涵及未來展望之探討,102,碩士,王聚康,https://hdl.handle.net/11296/5tqkb7
應用全域與局部影像特徵於蝴蝶辨識之研究,102,碩士,楊盛凱,https://hdl.handle.net/11296/vayjqj
分離自乳酸菌發酵豆奶之保健成分對脂肪生合成之影響,102,碩士,鄭孟純,https://hdl.handle.net/11296/vz4678
情緒詞彙運用於國小四年級情緒教育之行動研究,102,碩士,王怡婷,https://hdl.handle.net/11296/4s3e8f
「蔓蔓不斷」香水瓶之創作－以新藝術風格為發想,102,碩士,陳怡方,https://hdl.handle.net/11296/rsd3k6
稼軒詞接受史研究──以南宋至明末的詞論為範圍,102,碩士,黃彥達,https://hdl.handle.net/11296/3ra9g8
臺灣現地型地震預警系統對中小學地震防災之影響性探討,102,碩士,莊惠年,https://hdl.handle.net/11296/d2b474
台灣都會區擇偶時年齡被異性接受程度的比較：一個以婚友網站模擬配對的研究,102,碩士,吳杭彌,https://hdl.handle.net/11296/5yfk5f
弱勢學生高學習成就與學習動機之研究,102,碩士,張美珍,https://hdl.handle.net/11296/2jkvmu
大學生樂手認真性休閒與心流經驗之探討,102,碩士,李睿哲,https://hdl.handle.net/11296/369zy8
有機商店消費者區位選擇與商店印象對購買意願之研究,102,碩士,陳素娥,https://hdl.handle.net/11296/pkra2g
應用繪本教學策略於國小學生隱私認知與態度之行動研究,102,碩士,蕭曉燕,https://hdl.handle.net/11296/84w2z9
澎湖地區65歲以上老年人免費健康檢查相關因素之探究,102,碩士,張玳伶,https://hdl.handle.net/11296/5cx2k7
新北市三重區越南女性新住民文化適應,102,碩士,蘇銘德,https://hdl.handle.net/11296/vsvfq2
蘆竹鄉社區居民對域內休閒空間及環境識覺之研究,102,碩士,崔鳳玲,https://hdl.handle.net/11296/qe28r6
運用團體心智圖提升口語表達能力之行動研究-以五年級社會科教學為例,102,碩士,林佳芬,https://hdl.handle.net/11296/sdy22w
應用於LED照明系統之高性能交流/直流轉換器,102,碩士,楊柏恩,https://hdl.handle.net/11296/fvtt99
應用資料探勘技術於動物醫院病歷資料分析之研究,102,碩士,葉英祈,https://hdl.handle.net/11296/va5r6u
台灣東北部銅山地區台灣水青岡幼苗建立之研究,102,碩士,巫智斌,https://hdl.handle.net/11296/68d8ea
我國民法總則消滅時效規定之探討與反思—以近年實務見 解為核心,102,碩士,周懿君,https://hdl.handle.net/11296/966d55
新移民子女國小一年級國語文學業成就及其家庭背景因素之探討－以臺北市東區某小學為例,102,碩士,何玟慧,https://hdl.handle.net/11296/5k5y75
以摻鋁氧化鋅奈米線柱型陣列研製共軸非晶矽 p-i-n 太陽能電池之研究,102,碩士,林楷翰,https://hdl.handle.net/11296/2a46j5
高應變率下對臨時牙套材料之剪切與正向動態響應,102,碩士,陳泱翰,https://hdl.handle.net/11296/h637pp
高應變率豬臼齒的動態響應,102,碩士,陳仕睿,https://hdl.handle.net/11296/hbbaq8
新北市中和區高齡者學習空間與幸福感之研究,102,碩士,李曉玉,https://hdl.handle.net/11296/y7dc4j
郭元益糕餅博物館休閒動機、體驗價值與滿意度之研究,102,碩士,羅淑芬,https://hdl.handle.net/11296/t78f8k
老街擁擠知覺之研究----以深坑地區為例,102,碩士,陳金章,https://hdl.handle.net/11296/78sd3y
基隆市國小五年級學童環境識覺與鄉土態度之研究,102,碩士,陳羿喬,https://hdl.handle.net/11296/k458fr
台農71號與台農57號甘藷葉萃取物之 抗氧化活性分析,102,碩士,江育霖,https://hdl.handle.net/11296/qf29ej
以光纖感測器監測碳纖維複合材料成化過程之殘留應變,102,碩士,錢秋呈,https://hdl.handle.net/11296/gxfq53
雙溪景觀資源與居民地方依附之研究,102,碩士,莊智如,https://hdl.handle.net/11296/es7c33
巴爾扥克樂曲中巴羅克曲式之運用 －以【小提琴奏鳴曲】為例／涂珄瑝小提琴獨奏會,102,碩士,涂珄瑝,https://hdl.handle.net/11296/qcjd28
羅東鎮國小中年級學童日常生活空間危險知覺之研究,102,碩士,陳彥穎,https://hdl.handle.net/11296/n8k82x
固定化金屬奈米纖維薄膜對增強型綠色螢光蛋白吸附特性之研究,102,碩士,林俊宏,https://hdl.handle.net/11296/692z7e
療癒環境與使用者互動關係之探討-臺大醫院兒童醫療大樓為例,102,碩士,林依伶,https://hdl.handle.net/11296/xrdgd8
人工膝關節耐磨耗性能之研究,102,碩士,譚國宏,https://hdl.handle.net/11296/33f2u2
兒童攝影融入視覺藝術社會關懷課程之行動研究,102,碩士,汪昀臻,https://hdl.handle.net/11296/5p874v
風化．內化-杜雅鵑的創作論述,102,碩士,杜雅鵑,https://hdl.handle.net/11296/q36r6j
智慧型情境感知待辦清單管理系統之研究,102,碩士,邱培涵,https://hdl.handle.net/11296/kuve2w
實作QR Code解碼器於電子發票管理之應用,102,碩士,蔡朱怡,https://hdl.handle.net/11296/6sy9hh
舒伯特藝術歌曲研究與詮釋-以四首歌德之詩詞為例,102,碩士,藍玉婷,https://hdl.handle.net/11296/uzp8nq
