,"論文名稱","研究生","指導教授","校院名稱","系所名稱","學位類別","畢業學年度","論文出版年","引用網址","被引用","點閱","評分","下載","書目收藏"
"28","加上空間維度之ESG評級 - 以台灣企業為例","趙珮妤","林士淵","國立政治大學","地政學系碩士在職專班","碩士","114","2025","https://hdl.handle.net/11296/a573qw","0","29","0","0","0"
"29","顧客淨推薦值（NPS）對ESG與財務績效關聯之調節效果—以台灣金融業為例","林欣穎","許永明","國立政治大學","國際金融碩士學位學程","碩士","114","2025","https://hdl.handle.net/11296/3yq93b","0","30","0","0","0"
"30","中國電動汽車產業ESG指數、營運績效及專利總數對法律訴訟之研究","賴寶月","王文杰","國立政治大學","法學院碩士在職專班","碩士","114","2025","https://hdl.handle.net/11296/w9a7p9","0","31","0","6","0"
"31","加密貨幣之ESG與制度創新","邱秉翔","曹嘉玲
洪叔民","國立政治大學","國際金融碩士學位學程","碩士","114","2025","https://hdl.handle.net/11296/35ev65","0","31","0","0","0"
"32","中國 ESG 發展的特色：從生態國家理論為分析","陳子俊","林義鈞","國立政治大學","政治學系","碩士","114","2025","https://hdl.handle.net/11296/y662xw","0","47","0","10","0"
"33","女性獨立董事對企業審計費用與 ESG 表現之影響 : 家族企業與非家族企業之比較","趙國容","康敏平","國立臺灣師範大學","全球經營與策略研究所","碩士","114","2026","https://hdl.handle.net/11296/8qz6v6","0","83","0","27","0"
"34","ESG 驅動下的化工產業轉型 : 永續經營模式的再構與挑戰","陳錚修","施人英","國立臺灣師範大學","高階經理人企業管理碩士在職專班","碩士","114","2026","https://hdl.handle.net/11296/83e5e8","0","17","0","0","0"
"35","執行長權力對公司ESG績效的影響","王楷敦","張元
陳美華","國立彰化師範大學","財務金融技術學系","碩士","114","2026","https://hdl.handle.net/11296/tk2x8w","0","116","0","33","2"
"36","ESG投資風潮下的ETF市場-投資人關注度與風格分析","柯承瀚","賴慧文","國立臺灣師範大學","管理研究所","碩士","114","2025","https://hdl.handle.net/11296/c3g757","0","33","0","0","0"
"37","以ESG評估快時尚企業品牌價值成功關鍵因素之研究","許珈齊","蘇騰昇","國立高雄科技大學","企業管理系","碩士","114","2026","https://hdl.handle.net/11296/z7e5rd","0","47","0","0","0"
"38","ESG，很難嗎？組織規模、組織年齡與組織知名度的詮釋： 2015-2024年混合型縱橫資料的實證","郭尚庭","陳心田","明志科技大學","經營管理系碩士班","碩士","114","2025","https://hdl.handle.net/11296/224hp8","0","46","0","9","0"
"39","ESG評級與評級變動對投資者情緒與股票報酬關係之調節效果","劉珈瑜","吳靖東","銘傳大學","財務金融學系碩士班","碩士","114","2026","https://hdl.handle.net/11296/pby6at","0","45","0","5","0"
"40","宗教信仰程度對ESG績效之影響： 以台灣上市櫃公司之董事會影響力與總經理權力為例","楊喬惠","朱民芮","銘傳大學","財務金融學系碩士班","碩士","114","2026","https://hdl.handle.net/11296/z44a88","0","31","0","3","0"
"41","ESG績效與漂綠對權益資金成本之影響：以台灣為例","張岑華","徐苑玲","世新大學","財務金融學研究所(含碩專班)","碩士","114","2026","https://hdl.handle.net/11296/5cgd9p","0","116","0","30","0"
"42","智慧工廠導入ESG節能應用之效益研究","劉翔致","劉士豪","中原大學","資訊管理學系","碩士","114","2026","https://hdl.handle.net/11296/a2y3mt","0","53","0","11","0"
"43","漂綠行為對企業ESG之影響:媒體揭露的調節效果","張筱婕","徐苑玲","世新大學","財務金融學研究所(含碩專班)","碩士","114","2026","https://hdl.handle.net/11296/cb4929","0","52","0","13","0"
"44","企業ESG得獎與財務績效之分析","許嘉文","宋玫怡","實踐大學","企業管理學系碩士班","碩士","114","2026","https://hdl.handle.net/11296/66ay5c","0","26","0","6","0"
"45","打造永續創作場域:結合ESG與新媒體應用的校園空間活化策略研究","栗言","汪浩","逢甲大學","合作經濟暨社會事業經營學系","碩士","114","2026","https://hdl.handle.net/11296/t79r2f","0","48","0","10","0"
"46","ESG ETF成分股調整與市場反應之實證分析","黃子銘","施光訓
王譯賢","中信金融管理學院","科技金融研究所","碩士","114","2026","https://hdl.handle.net/11296/69f954","0","84","0","15","0"
"47","透過AHP層級分析法探討ESG之關鍵指標—以營造業為例","簡志豪","翁佳樑","國立高雄科技大學","營建工程系","碩士","114","2026","https://hdl.handle.net/11296/gb2ep7","0","101","0","33","0"
"48","台灣半導體企業ESG事件宣佈與其股價異常報酬:事件研究法之檢視","林宗憲","林哲鵬","國立彰化師範大學","企業管理學系","碩士","114","2026","https://hdl.handle.net/11296/d469r4","0","65","0","26","0"
"49","探討企業實踐ESG之關鍵成功因素：台灣製造業實證分析","張學麟","周永燦","中原大學","工業與系統工程學系","博士","114","2026","https://hdl.handle.net/11296/nu6c76","0","83","0","19","1"
"50","中小型金融機構 ESG 的挑戰與對策—以 T 銀行為例","張彥庭","胡憲倫","國立臺北科技大學","環境工程與管理研究所","碩士","114","2026","https://hdl.handle.net/11296/m24hfm","0","81","0","5","0"
