,"論文名稱","研究生","指導教授","校院名稱","系所名稱","學位類別","畢業學年度","論文出版年","引用網址","被引用","點閱","評分","下載","書目收藏"
"1","ESG實踐對員工認知與組織認同之研究-以金融從業人員為例","林柔宇","羅光達","國立政治大學","行政管理碩士學程","碩士","114","2026","https://hdl.handle.net/11296/6t9r6e","0","16","0","0","0"
"2","負面ESG媒體報導與審計公費之關聯性:永續發展委員會的調節效果","李育萱","吳思蓉","國立成功大學","會計學系","碩士","114","2025","https://hdl.handle.net/11296/tfawm7","0","29","0","9","0"
"3","被放大的顧客不滿：論公股銀行在 ESG 浪潮中的「體制原罪」","郭怡伶","劉梧柏","國立成功大學","財務金融研究所","碩士","114","2026","https://hdl.handle.net/11296/fm6636","0","14","0","6","0"
"4","董事會性別多元與ESG績效","許瑞珊","周庭楷","國立成功大學","高階管理碩士在職專班(EMBA)","碩士","114","2026","https://hdl.handle.net/11296/3btteq","0","32","0","11","0"
"5","整合ESG與食安因素之永續效率分析：以DEA模型檢視臺灣食品企業之表現","姜馨茹","林泰宇","國立成功大學","企業管理學系","碩士","114","2026","https://hdl.handle.net/11296/wdu34y","0","51","0","11","0"
"6","實施 ESG 之公司在面對 COVID-19 疫情與企業殭屍化挑戰之影響","黃堂麟","劉裕宏","國立成功大學","財務金融研究所","博士","114","2025","https://hdl.handle.net/11296/qf2568","0","44","0","13","0"
"7","基於因果時間注意力與多視角跨注意力模型之多模態ESG評等預測","翁品皙","黃仁暐","國立成功大學","電機工程學系","碩士","114","2026","https://hdl.handle.net/11296/pfc2s3","0","23","0","6","0"
"8","全球物流業ESG實踐、碳績效與漂綠行為之實證分析：能源消耗的中介效果","陳佩楷","廖俊雄","國立成功大學","交通管理科學系","碩士","114","2026","https://hdl.handle.net/11296/bn72ph","0","20","0","0","0"
"9","Sustainability and Profitability in the Energy Sector: Empirical evidence on ESG Effects in Oil, Gas and Consumable Fuels Industry","蘇義德","楊曉瑩","國立成功大學","國際經營管理研究所","碩士","114","2026","https://hdl.handle.net/11296/rcsz5b","0","5","0","0","0"
"10","ESG對盈餘管理的抑制效果：家族企業的差異分析","蘇姿云","謝喻婷","國立成功大學","財務金融研究所","碩士","114","2026","https://hdl.handle.net/11296/6wq947","0","36","0","16","0"
"11","從漁電共生ESG探究綠色信任與口碑：環境知覺的調節作用－以雲林地區為例","陳威樺","鄭國泰","國立清華大學","環境與文化資源學系","碩士","114","2026","https://hdl.handle.net/11296/38dnwz","0","18","0","0","0"
"12","ESG揭露與併購前後績效：以2021年歐洲與美國併購案件為例","王欣齡","王可言
吳藺芝","國立中山大學","國際金融研究學院國際資產管理研究所","碩士","114","2026","https://hdl.handle.net/11296/6866c3","0","8","0","0","0"
"13","ESG對企業韌性的影響：以台灣上市公司為例","王辰阡","吳藺芝","國立中山大學","國際金融研究學院國際資產管理研究所","碩士","114","2026","https://hdl.handle.net/11296/xgmq3n","0","32","1.0","0","0"
"14","家族企業中的代理問題與ESG表現之關聯性探討","黃竑博","蔡佳芬","國立中山大學","金融創新產業碩士專班","碩士","114","2026","https://hdl.handle.net/11296/9mrvp2","0","18","0","5","0"
"15","ESG評等對IPO初始報酬及長期績效的影響","王丞庭","陳安琳","國立中山大學","企業管理學系研究所","碩士","114","2025","https://hdl.handle.net/11296/p63pq7","0","26","0","8","0"
"16","董事對企業ESG永續治理責任之探討—以美國司法實務監督義務為比較之核心","楊秉紘","郭土木","輔仁大學","法律學系","碩士","114","2026","https://hdl.handle.net/11296/5d4bq7","0","67","0","0","0"
"17","可信的ESG傳播：探討社群媒體上永續發展類型與訊息來源對企業之影響","吳庭萱","王紹蓉","國立中山大學","行銷傳播管理研究所","碩士","114","2025","https://hdl.handle.net/11296/dzv388","0","13","0","0","0"
"18","ESG永續智慧手機之溢價支付意願研究——規範激起模型視角","葉雲皓","黃明新","國立中山大學","企業管理學系研究所","碩士","114","2025","https://hdl.handle.net/11296/9ge9nv","0","29","0","11","0"
"19","檢索增強大型語言模型於10-K 文件之ESG 評等預測與解釋生成","賴壹誠","林耕霈","國立中山大學","資訊管理學系研究所","碩士","114","2025","https://hdl.handle.net/11296/es4m8f","0","9","0","0","0"
"20","金融業與科技業ESG永續展現之比較研究","紀玉靜","潘競恒
袁鶴齡","國立中興大學","國家政策與公共事務研究所","碩士","114","2026","https://hdl.handle.net/11296/r32n6c","0","65","0","15","0"
"21","消費者對綠色信用卡ESG活動的偏好研究：以台灣市場為例","歐書妤","王建富","國立中興大學","行銷學系所","碩士","114","2026","https://hdl.handle.net/11296/rjtckz","0","16","0","3","0"
"22","低氧滅火技術於半導體產業之ESG無形效益分析","劉雲瑄","何幸修","國立中興大學","環境工程學系所","碩士","114","2025","https://hdl.handle.net/11296/4yeyh4","0","11","0","2","0"
"23","臺灣股票市場之傳統ETF與ESG ETF 的績效與風險相互比較-以Price Correlation and Volatility Model分析","錢可宸","趙莊敏","國立臺北科技大學","經營管理系","碩士","114","2025","https://hdl.handle.net/11296/ab68ke","0","385","0","0","0"
"24","半導體封裝測試產業ESG發展成功關鍵因素之研究","許馨方","蔡榮發","國立臺北科技大學","經營管理系","碩士","114","2025","https://hdl.handle.net/11296/34ebv7","0","96","5.0","0","0"
"25","家族辦公室ESG指數建構與投資績效影響之研究","高婉儀","郭維裕","國立政治大學","國際金融碩士學位學程","碩士","114","2026","https://hdl.handle.net/11296/y3c9m5","0","30","0","0","0"
"26","員工參與在ESG策略實施中的重要性","陳文榮","張元晨","國立政治大學","國際金融碩士學位學程","碩士","114","2026","https://hdl.handle.net/11296/24g46p","0","29","0","0","0"
"27","ESG 評分與經風險調整後的報酬率：以股票期貨為例","林川博","許永明","國立政治大學","國際金融碩士學位學程","碩士","114","2026","https://hdl.handle.net/11296/ar98gg","0","35","0","0","0"
